date,metric,BTC,ETH
2024-01-11,etf_cumulative_net_flow_usd_millions,655.3,0.0
2024-01-11,etf_net_flow_usd_millions,655.3,0.0
2024-01-12,etf_cumulative_net_flow_usd_millions,858.3,0.0
2024-01-12,etf_net_flow_usd_millions,203.0,0.0
2024-01-13,etf_cumulative_net_flow_usd_millions,858.3,0.0
2024-01-13,etf_net_flow_usd_millions,0.0,0.0
2024-01-14,etf_cumulative_net_flow_usd_millions,858.3,0.0
2024-01-14,etf_net_flow_usd_millions,0.0,0.0
2024-01-15,etf_cumulative_net_flow_usd_millions,858.3,0.0
2024-01-15,etf_net_flow_usd_millions,0.0,0.0
2024-01-16,etf_cumulative_net_flow_usd_millions,805.6,0.0
2024-01-16,etf_net_flow_usd_millions,-52.7,0.0
2024-01-17,etf_cumulative_net_flow_usd_millions,1259.4,0.0
2024-01-17,etf_net_flow_usd_millions,453.8,0.0
2024-01-18,etf_cumulative_net_flow_usd_millions,1132.8,0.0
2024-01-18,etf_net_flow_usd_millions,-126.6,0.0
2024-01-19,etf_cumulative_net_flow_usd_millions,1176.4,0.0
2024-01-19,etf_net_flow_usd_millions,43.6,0.0
2024-01-20,etf_cumulative_net_flow_usd_millions,1176.4,0.0
2024-01-20,etf_net_flow_usd_millions,0.0,0.0
2024-01-21,etf_cumulative_net_flow_usd_millions,1176.4,0.0
2024-01-21,etf_net_flow_usd_millions,0.0,0.0
2024-01-22,etf_cumulative_net_flow_usd_millions,1089.0,0.0
2024-01-22,etf_net_flow_usd_millions,-87.4,0.0
2024-01-23,etf_cumulative_net_flow_usd_millions,982.9,0.0
2024-01-23,etf_net_flow_usd_millions,-106.1,0.0
2024-01-24,etf_cumulative_net_flow_usd_millions,824.6,0.0
2024-01-24,etf_net_flow_usd_millions,-158.3,0.0
2024-01-25,etf_cumulative_net_flow_usd_millions,744.8,0.0
2024-01-25,etf_net_flow_usd_millions,-79.8,0.0
2024-01-26,etf_cumulative_net_flow_usd_millions,759.6,0.0
2024-01-26,etf_net_flow_usd_millions,14.8,0.0
2024-01-27,etf_cumulative_net_flow_usd_millions,759.6,0.0
2024-01-27,etf_net_flow_usd_millions,0.0,0.0
2024-01-28,etf_cumulative_net_flow_usd_millions,759.6,0.0
2024-01-28,etf_net_flow_usd_millions,0.0,0.0
2024-01-29,etf_cumulative_net_flow_usd_millions,1014.7,0.0
2024-01-29,etf_net_flow_usd_millions,255.1,0.0
2024-01-30,etf_cumulative_net_flow_usd_millions,1262.0,0.0
2024-01-30,etf_net_flow_usd_millions,247.3,0.0
2024-01-31,etf_cumulative_net_flow_usd_millions,1459.6,0.0
2024-01-31,etf_net_flow_usd_millions,197.6,0.0
2024-02-01,etf_cumulative_net_flow_usd_millions,1498.1,0.0
2024-02-01,etf_net_flow_usd_millions,38.5,0.0
2024-02-02,etf_cumulative_net_flow_usd_millions,1578.1,0.0
2024-02-02,etf_net_flow_usd_millions,80.0,0.0
2024-02-03,etf_cumulative_net_flow_usd_millions,1578.1,0.0
2024-02-03,etf_net_flow_usd_millions,0.0,0.0
