date,metric,ETH,BTC,USDC
2013-04-28,price,,141.9600000000,
2013-04-29,price,,135.3000000000,
2013-04-30,price,,117.0000000000,
2013-05-01,price,,103.4300000000,
2013-05-02,price,,91.0100000000,
2013-05-03,price,,111.2500000000,
2013-05-04,price,,116.7900000000,
2013-05-05,price,,118.3300000000,
2013-05-06,price,,106.4000000000,
2013-05-07,price,,112.6400000000,
2013-05-08,price,,113.0000000000,
2013-05-09,price,,118.7800000000,
2013-05-10,price,,113.0100000000,
2013-05-11,price,,114.7130000000,
2013-05-12,price,,117.1800000000,
2013-05-13,price,,114.5000000000,
2013-05-14,price,,114.1560000000,
2013-05-15,price,,115.5000000000,
2013-05-16,price,,123.1000000000,
2013-05-17,price,,123.8800000000,
2013-05-18,price,,120.5010000000,
2013-05-19,price,,122.5800000000,
2013-05-20,price,,122.9000000000,
2013-05-21,price,,123.0000000000,
2013-05-22,price,,125.7480000000,
2013-05-23,price,,131.7000000000,
2013-05-24,price,,130.7700000000,
2013-05-25,price,,134.6000000000,
2013-05-26,price,,128.9850000000,
2013-05-27,price,,129.1790000000,
2013-05-28,price,,132.1300000000,
2013-05-29,price,,127.4010000000,
2013-05-30,price,,127.9800000000,
2013-05-31,price,,129.0900000000,
2013-06-01,price,,121.3000000000,
2013-06-02,price,,121.1600000000,
2013-06-05,price,,121.7140000000,
2013-06-06,price,,119.0000000000,
2013-06-07,price,,110.0900000000,
2013-06-08,price,,108.4010000000,
2013-06-09,price,,99.7497000000,
2013-06-10,price,,105.9900000000,
2013-06-11,price,,108.9000000000,
2013-06-12,price,,108.4000000000,
2013-06-13,price,,102.7690000000,
2013-06-14,price,,98.3990000000,
2013-06-15,price,,99.9900000000,
2013-06-16,price,,100.4200000000,
2013-06-17,price,,102.0000000000,
2013-06-18,price,,106.5500000000,
2013-06-19,price,,107.9000000000,
2013-06-20,price,,110.9100000000,
2013-06-21,price,,109.0150000000,
2013-06-22,price,,107.2500000000,
2013-06-23,price,,108.0000000000,
2013-06-24,price,,102.4430000000,
2013-06-25,price,,103.6910000000,
2013-06-26,price,,103.3900000000,
2013-06-27,price,,99.6600000000,
2013-06-28,price,,93.3311000000,
2013-06-29,price,,95.3886000000,
2013-06-30,price,,97.5040000000,
2013-07-01,price,,89.4890000000,
2013-07-02,price,,90.7970000000,
2013-07-03,price,,78.8000000000,
2013-07-04,price,,78.4800000000,
2013-07-05,price,,67.8090000000,
2013-07-06,price,,68.0831000000,
2013-07-07,price,,77.5020000000,
2013-07-08,price,,76.3915000000,
2013-07-09,price,,77.0000000000,
2013-07-10,price,,85.7500000000,
2013-07-11,price,,93.8040000000,
2013-07-12,price,,88.0622000000,
2013-07-13,price,,95.5800000000,
2013-07-14,price,,94.0000000000,
2013-07-15,price,,97.3010000000,
2013-07-16,price,,98.9796000000,
2013-07-17,price,,97.8000000000,
2013-07-18,price,,88.7869000000,
2013-07-19,price,,91.5720000000,
2013-07-20,price,,89.2800000000,
2013-07-21,price,,90.3672000000,
2013-07-22,price,,91.7024000000,
2013-07-23,price,,94.5806000000,
2013-07-24,price,,94.5250000000,
2013-07-25,price,,96.9499000000,
2013-07-26,price,,94.1300000000,
2013-07-27,price,,94.0050000000,
2013-07-28,price,,98.5759000000,
2013-07-29,price,,101.5000000000,
2013-07-30,price,,110.3400000000,
2013-07-31,price,,106.2300000000,
2013-08-01,price,,101.6100000000,
2013-08-02,price,,103.7000000000,
2013-08-03,price,,104.8600000000,
2013-08-04,price,,106.5600000000,
2013-08-05,price,,105.8410000000,
2013-08-06,price,,106.7500000000,
2013-08-07,price,,101.6720000000,
2013-08-08,price,,103.4000000000,
2013-08-09,price,,102.7100000000,
2013-08-10,price,,103.7700000000,
